scan_rate_mV_s,potential_V_vs_RHE,current_mA
20,1.1540,-0.0408
20,1.1520,-0.0413
20,1.1500,-0.0521
20,1.1480,-0.0480
20,1.1460,-0.0432
20,1.1440,-0.0516
20,1.1420,-0.0396
20,1.1400,-0.0420
20,1.1380,-0.0395
20,1.1360,-0.0422
20,1.1340,-0.0372
20,1.1320,-0.0465
20,1.1300,-0.0403
20,1.1280,-0.0391
20,1.1260,-0.0484
20,1.1240,-0.0358
20,1.1220,-0.0405
20,1.1200,-0.0444
20,1.1180,-0.0456
20,1.1160,-0.0407
20,1.1140,-0.0412
20,1.1120,-0.0533
20,1.1100,-0.0422
20,1.1080,-0.0455
20,1.1060,-0.0451
20,1.1040,-0.0530
20,1.1020,-0.0423
20,1.1000,-0.0407
20,1.0980,-0.0417
20,1.0960,-0.0421
20,1.0940,-0.0470
20,1.0920,-0.0420
20,1.0900,-0.0464
20,1.0880,-0.0425
20,1.0860,-0.0421
20,1.0840,-0.0434
20,1.0820,-0.0378
20,1.0800,-0.0478
20,1.0780,-0.0510
20,1.0760,-0.0403
20,1.0740,-0.0468
20,1.0720,-0.0489
20,1.0700,-0.0419
20,1.0680,-0.0417
20,1.0660,-0.0501
20,1.0640,-0.0453
20,1.0620,-0.0403
20,1.0600,-0.0355
20,1.0580,-0.0458
20,1.0560,-0.0376
20,1.0540,-0.0415
20,1.0520,-0.0453
20,1.0500,-0.0509
20,1.0480,-0.0452
20,1.0460,-0.0447
20,1.0440,-0.0415
20,1.0420,-0.0462
20,1.0400,-0.0437
20,1.0380,-0.0392
20,1.0360,-0.0376
20,1.0340,-0.0518
20,1.0320,-0.0514
20,1.0300,-0.0468
20,1.0280,-0.0438
20,1.0260,-0.0383
20,1.0240,-0.0537
20,1.0220,-0.0485
20,1.0200,-0.0433
20,1.0180,-0.0463
20,1.0160,-0.0417
20,1.0140,-0.0427
20,1.0120,-0.0367
20,1.0100,-0.0460
20,1.0080,-0.0453
20,1.0060,-0.0424
20,1.0040,-0.0451
20,1.0020,-0.0421
20,1.0000,-0.0465
50,1.0000,0.1150
50,1.0020,0.1121
50,1.0040,0.1109
50,1.0060,0.1098
50,1.0080,0.1049
50,1.0100,0.1112
50,1.0120,0.1101
50,1.0140,0.1066
50,1.0160,0.1126
50,1.0180,0.1102
50,1.0200,0.1159
50,1.0220,0.1133
50,1.0240,0.1067
50,1.0260,0.1103
50,1.0280,0.1161
50,1.0300,0.1106
50,1.0320,0.1111
50,1.0340,0.1161
50,1.0360,0.1049
50,1.0380,0.1059
50,1.0400,0.1121
50,1.0420,0.1102
50,1.0440,0.1155
50,1.0460,0.1060
50,1.0480,0.1058
50,1.0500,0.1037
50,1.0520,0.1124
50,1.0540,0.1211
50,1.0560,0.1130
50,1.0580,0.1184
50,1.0600,0.1092
50,1.0620,0.1063
50,1.0640,0.1183
50,1.0660,0.1107
50,1.0680,0.1108
50,1.0700,0.1129
50,1.0720,0.1135
50,1.0740,0.1102
50,1.0760,0.1125
50,1.0780,0.1089
50,1.0800,0.1052
50,1.0820,0.1120
50,1.0840,0.1072
50,1.0860,0.1121
50,1.0880,0.1047
50,1.0900,0.1064
50,1.0920,0.1053
50,1.0940,0.1134
50,1.0960,0.1118
50,1.0980,0.1069
50,1.1000,0.1094
50,1.1020,0.1099
50,1.1040,0.1178
50,1.1060,0.1079
50,1.1080,0.1053
50,1.1100,0.1118
50,1.1120,0.1018
50,1.1140,0.1110
50,1.1160,0.1094
50,1.1180,0.1011
50,1.1200,0.1049
50,1.1220,0.1139
50,1.1240,0.1137
50,1.1260,0.1131
50,1.1280,0.1058
50,1.1300,0.1094
50,1.1320,0.1044
50,1.1340,0.1137
50,1.1360,0.1046
50,1.1380,0.1104
50,1.1400,0.1128
50,1.1420,0.1153
50,1.1440,0.1115
50,1.1460,0.1145
50,1.1480,0.1139
50,1.1500,0.1077
50,1.1520,0.1056
50,1.1540,0.1057
50,1.1560,0.1105
50,1.1580,0.1001
50,1.1600,0.1207
50,1.1620,0.1126
50,1.1640,0.1119
50,1.1660,0.1090
50,1.1680,0.1105
50,1.1700,0.1137
50,1.1720,0.1095
50,1.1740,0.1063
50,1.1760,0.1158
50,1.1780,0.1083
50,1.1800,0.1128
50,1.1820,0.1101
50,1.1840,0.1076
50,1.1860,0.1003
50,1.1880,0.1149
50,1.1900,0.1054
50,1.1920,0.1116
50,1.1940,0.1073
50,1.1960,0.1143
50,1.1980,0.1112
50,1.2000,0.1048
50,1.2020,0.1089
50,1.2040,0.1173
50,1.2060,0.1119
50,1.2080,0.1162
50,1.2100,0.1114
50,1.2120,0.1174
50,1.2140,0.1062
50,1.2160,0.1135
50,1.2180,0.1107
50,1.2200,0.1094
50,1.2220,0.1056
50,1.2240,0.1017
50,1.2260,0.1115
50,1.2280,0.1112
50,1.2300,0.1040
50,1.2320,0.1082
50,1.2340,0.1101
50,1.2360,0.1118
50,1.2380,0.1077
50,1.2400,0.1082
50,1.2420,0.1113
50,1.2440,0.1100
50,1.2460,0.1050
50,1.2480,0.1124
50,1.2500,0.1081
50,1.2520,0.1115
50,1.2540,0.1117
50,1.2560,0.1125
50,1.2580,0.1072
50,1.2600,0.1095
50,1.2620,0.1137
50,1.2640,0.0988
50,1.2660,0.1072
50,1.2680,0.1021
50,1.2700,0.1089
50,1.2720,0.1090
50,1.2740,0.1125
50,1.2760,0.1153
50,1.2780,0.1090
50,1.2800,0.1160
50,1.2820,0.1062
50,1.2840,0.1122
50,1.2860,0.1138
50,1.2880,0.1157
50,1.2900,0.1023
50,1.2920,0.1177
50,1.2940,0.1169
50,1.2960,0.1104
50,1.2980,0.1126
50,1.3000,0.1124
50,1.3020,0.1142
50,1.3040,0.1259
50,1.3060,0.1211
50,1.3080,0.1258
50,1.3100,0.1380
50,1.3120,0.1439
50,1.3140,0.1597
50,1.3160,0.1641
50,1.3180,0.1831
50,1.3200,0.1978
50,1.3220,0.2257
50,1.3240,0.2481
50,1.3260,0.2820
50,1.3280,0.3145
50,1.3300,0.3580
50,1.3320,0.4040
50,1.3340,0.4751
50,1.3360,0.5389
50,1.3380,0.6207
50,1.3400,0.7166
50,1.3420,0.8115
50,1.3440,0.9246
50,1.3460,1.0488
50,1.3480,1.1964
50,1.3500,1.3436
50,1.3520,1.5095
50,1.3540,1.6768
50,1.3560,1.8590
50,1.3580,2.0583
50,1.3600,2.2529
50,1.3620,2.4514
50,1.3640,2.6690
50,1.3660,2.8746
50,1.3680,3.0811
50,1.3700,3.2859
50,1.3720,3.4717
50,1.3740,3.6470
50,1.3760,3.8126
50,1.3780,3.9595
50,1.3800,4.0915
50,1.3820,4.2001
50,1.3840,4.2767
50,1.3860,4.3230
50,1.3880,4.3534
50,1.3900,4.3511
50,1.3920,4.3263
50,1.3940,4.2688
50,1.3960,4.1890
50,1.3980,4.0832
50,1.4000,3.9528
50,1.4020,3.7998
50,1.4040,3.6434
50,1.4060,3.4610
50,1.4080,3.2748
50,1.4100,3.0736
50,1.4120,2.8637
50,1.4140,2.6507
50,1.4160,2.4481
50,1.4180,2.2402
50,1.4200,2.0441
50,1.4220,1.8492
50,1.4240,1.6757
50,1.4260,1.4946
50,1.4280,1.3366
50,1.4300,1.1794
50,1.4320,1.0472
50,1.4340,0.9270
50,1.4360,0.8092
50,1.4380,0.7047
50,1.4400,0.6203
50,1.4420,0.5394
50,1.4440,0.4734
50,1.4460,0.4146
50,1.4480,0.3576
50,1.4500,0.3227
50,1.4520,0.2837
50,1.4540,0.2493
50,1.4560,0.2176
50,1.4580,0.2042
50,1.4600,0.1816
50,1.4620,0.1693
50,1.4640,0.1560
50,1.4660,0.1382
50,1.4680,0.1432
50,1.4700,0.1295
50,1.4720,0.1288
50,1.4740,0.1252
50,1.4760,0.1265
50,1.4780,0.1197
50,1.4800,0.1199
50,1.4820,0.1231
50,1.4840,0.1196
50,1.4860,0.1154
50,1.4880,0.1139
50,1.4900,0.1190
50,1.4920,0.1225
50,1.4940,0.1189
50,1.4960,0.1168
50,1.4980,0.1188
50,1.5000,0.1262
50,1.5020,0.1152
50,1.5040,0.1196
50,1.5060,0.1183
50,1.5080,0.1234
50,1.5100,0.1267
50,1.5120,0.1264
50,1.5140,0.1275
50,1.5160,0.1237
50,1.5180,0.1316
50,1.5200,0.1360
50,1.5220,0.1307
50,1.5240,0.1446
50,1.5260,0.1389
50,1.5280,0.1414
50,1.5300,0.1461
50,1.5320,0.1348
50,1.5340,0.1498
50,1.5360,0.1528
50,1.5380,0.1472
50,1.5400,0.1590
50,1.5420,0.1630
50,1.5440,0.1601
50,1.5460,0.1755
50,1.5480,0.1741
50,1.5500,0.1757
50,1.5520,0.1749
50,1.5540,0.1839
50,1.5560,0.1898
50,1.5580,0.1947
50,1.5600,0.1923
50,1.5620,0.2032
50,1.5640,0.2127
50,1.5660,0.2158
50,1.5680,0.2249
50,1.5700,0.2354
50,1.5720,0.2417
50,1.5740,0.2477
50,1.5760,0.2551
50,1.5780,0.2780
50,1.5800,0.2854
50,1.5820,0.2979
50,1.5840,0.3080
50,1.5860,0.3212
50,1.5880,0.3397
50,1.5900,0.3554
50,1.5920,0.3658
50,1.5940,0.3817
50,1.5960,0.4078
50,1.5980,0.4180
50,1.6000,0.4494
50,1.5980,0.2009
50,1.5960,0.1801
50,1.5940,0.1652
50,1.5920,0.1412
50,1.5900,0.1294
50,1.5880,0.1151
50,1.5860,0.1042
50,1.5840,0.0883
50,1.5820,0.0706
50,1.5800,0.0583
50,1.5780,0.0522
50,1.5760,0.0371
50,1.5740,0.0286
50,1.5720,0.0236
50,1.5700,0.0128
50,1.5680,0.0075
50,1.5660,-0.0103
50,1.5640,-0.0135
50,1.5620,-0.0147
50,1.5600,-0.0211
50,1.5580,-0.0348
50,1.5560,-0.0315
50,1.5540,-0.0440
50,1.5520,-0.0492
50,1.5500,-0.0436
50,1.5480,-0.0537
50,1.5460,-0.0520
50,1.5440,-0.0594
50,1.5420,-0.0522
50,1.5400,-0.0615
50,1.5380,-0.0705
50,1.5360,-0.0686
50,1.5340,-0.0790
50,1.5320,-0.0722
50,1.5300,-0.0820
50,1.5280,-0.0815
50,1.5260,-0.0761
50,1.5240,-0.0810
50,1.5220,-0.0905
50,1.5200,-0.0822
50,1.5180,-0.0977
50,1.5160,-0.0866
50,1.5140,-0.0856
50,1.5120,-0.0909
50,1.5100,-0.0941
50,1.5080,-0.0874
50,1.5060,-0.0931
50,1.5040,-0.0936
50,1.5020,-0.1014
50,1.5000,-0.1032
50,1.4980,-0.1003
50,1.4960,-0.1025
50,1.4940,-0.1002
50,1.4920,-0.1030
50,1.4900,-0.0981
50,1.4880,-0.0951
50,1.4860,-0.1025
50,1.4840,-0.1076
50,1.4820,-0.1000
50,1.4800,-0.0979
50,1.4780,-0.1046
50,1.4760,-0.1069
50,1.4740,-0.1079
50,1.4720,-0.1110
50,1.4700,-0.1056
50,1.4680,-0.1011
50,1.4660,-0.1061
50,1.4640,-0.1096
50,1.4620,-0.1090
50,1.4600,-0.1058
50,1.4580,-0.1069
50,1.4560,-0.1075
50,1.4540,-0.1111
50,1.4520,-0.1090
50,1.4500,-0.1103
50,1.4480,-0.1126
50,1.4460,-0.1062
50,1.4440,-0.1089
50,1.4420,-0.1081
50,1.4400,-0.1100
50,1.4380,-0.1024
50,1.4360,-0.1134
50,1.4340,-0.1048
50,1.4320,-0.1082
50,1.4300,-0.1133
50,1.4280,-0.1059
50,1.4260,-0.1066
50,1.4240,-0.1064
50,1.4220,-0.1094
50,1.4200,-0.1042
50,1.4180,-0.1047
50,1.4160,-0.1069
50,1.4140,-0.1144
50,1.4120,-0.1126
50,1.4100,-0.1203
50,1.4080,-0.1037
50,1.4060,-0.1091
50,1.4040,-0.1080
50,1.4020,-0.1038
50,1.4000,-0.1164
50,1.3980,-0.1113
50,1.3960,-0.1109
50,1.3940,-0.1145
50,1.3920,-0.1109
50,1.3900,-0.1198
50,1.3880,-0.1163
50,1.3860,-0.1200
50,1.3840,-0.1202
50,1.3820,-0.1305
50,1.3800,-0.1317
50,1.3780,-0.1375
50,1.3760,-0.1421
50,1.3740,-0.1560
50,1.3720,-0.1659
50,1.3700,-0.1773
50,1.3680,-0.1943
50,1.3660,-0.2245
50,1.3640,-0.2404
50,1.3620,-0.2733
50,1.3600,-0.3081
50,1.3580,-0.3491
50,1.3560,-0.4007
50,1.3540,-0.4502
50,1.3520,-0.5095
50,1.3500,-0.5870
50,1.3480,-0.6708
50,1.3460,-0.7500
50,1.3440,-0.8546
50,1.3420,-0.9638
50,1.3400,-1.0841
50,1.3380,-1.2085
50,1.3360,-1.3490
50,1.3340,-1.4936
50,1.3320,-1.6443
50,1.3300,-1.7883
50,1.3280,-1.9673
50,1.3260,-2.1327
50,1.3240,-2.2905
50,1.3220,-2.4555
50,1.3200,-2.6126
50,1.3180,-2.7626
50,1.3160,-2.9056
50,1.3140,-3.0297
50,1.3120,-3.1584
50,1.3100,-3.2536
50,1.3080,-3.3396
50,1.3060,-3.3980
50,1.3040,-3.4402
50,1.3020,-3.4628
50,1.3000,-3.4611
50,1.2980,-3.4451
50,1.2960,-3.3956
50,1.2940,-3.3298
50,1.2920,-3.2463
50,1.2900,-3.1398
50,1.2880,-3.0200
50,1.2860,-2.8950
50,1.2840,-2.7566
50,1.2820,-2.6035
50,1.2800,-2.4456
50,1.2780,-2.2812
50,1.2760,-2.1156
50,1.2740,-1.9588
50,1.2720,-1.7865
50,1.2700,-1.6395
50,1.2680,-1.4822
50,1.2660,-1.3430
50,1.2640,-1.2067
50,1.2620,-1.0765
50,1.2600,-0.9561
50,1.2580,-0.8502
50,1.2560,-0.7547
50,1.2540,-0.6660
50,1.2520,-0.5771
50,1.2500,-0.5115
50,1.2480,-0.4514
50,1.2460,-0.3848
50,1.2440,-0.3423
50,1.2420,-0.2918
50,1.2400,-0.2729
50,1.2380,-0.2395
50,1.2360,-0.2178
50,1.2340,-0.1969
50,1.2320,-0.1752
50,1.2300,-0.1577
50,1.2280,-0.1521
50,1.2260,-0.1446
50,1.2240,-0.1401
50,1.2220,-0.1259
50,1.2200,-0.1234
50,1.2180,-0.1212
50,1.2160,-0.1200
50,1.2140,-0.1169
50,1.2120,-0.1210
50,1.2100,-0.1197
50,1.2080,-0.1127
50,1.2060,-0.1120
50,1.2040,-0.1065
50,1.2020,-0.1086
50,1.2000,-0.1107
50,1.1980,-0.1063
50,1.1960,-0.1056
50,1.1940,-0.1082
50,1.1920,-0.1143
50,1.1900,-0.1075
50,1.1880,-0.1096
50,1.1860,-0.1097
50,1.1840,-0.1152
50,1.1820,-0.1110
50,1.1800,-0.1047
50,1.1780,-0.1100
50,1.1760,-0.1077
50,1.1740,-0.1117
50,1.1720,-0.1066
50,1.1700,-0.1098
50,1.1680,-0.1186
50,1.1660,-0.1088
50,1.1640,-0.1110
50,1.1620,-0.1077
50,1.1600,-0.1161
50,1.1580,-0.1149
50,1.1560,-0.1075
50,1.1540,-0.1037
50,1.1520,-0.1142
50,1.1500,-0.1111
50,1.1480,-0.1128
50,1.1460,-0.1065
50,1.1440,-0.1072
50,1.1420,-0.1185
50,1.1400,-0.1133
50,1.1380,-0.1070
50,1.1360,-0.1112
50,1.1340,-0.1100
50,1.1320,-0.1067
50,1.1300,-0.1113
50,1.1280,-0.1060
50,1.1260,-0.1111
50,1.1240,-0.1081
50,1.1220,-0.1066
50,1.1200,-0.1076
50,1.1180,-0.1097
50,1.1160,-0.1092
50,1.1140,-0.1115
50,1.1120,-0.1075
50,1.1100,-0.1124
50,1.1080,-0.1045
50,1.1060,-0.1159
50,1.1040,-0.1114
50,1.1020,-0.1019
50,1.1000,-0.1112
50,1.0980,-0.1058
50,1.0960,-0.1082
50,1.0940,-0.1130
50,1.0920,-0.1101
50,1.0900,-0.1118
50,1.0880,-0.1119
50,1.0860,-0.1119
50,1.0840,-0.1130
50,1.0820,-0.1037
50,1.0800,-0.1164
50,1.0780,-0.1098
50,1.0760,-0.1079
50,1.0740,-0.1117
50,1.0720,-0.1106
50,1.0700,-0.1084
50,1.0680,-0.1011
50,1.0660,-0.1133
50,1.0640,-0.1026
50,1.0620,-0.1156
50,1.0600,-0.1118
50,1.0580,-0.1089
50,1.0560,-0.1150
50,1.0540,-0.1104
50,1.0520,-0.1134
50,1.0500,-0.1104
50,1.0480,-0.1090
50,1.0460,-0.1085
50,1.0440,-0.1086
50,1.0420,-0.1144
50,1.0400,-0.1088
50,1.0380,-0.1114
50,1.0360,-0.1038
50,1.0340,-0.1055
50,1.0320,-0.1130
50,1.0300,-0.1123
50,1.0280,-0.1096
50,1.0260,-0.1076
50,1.0240,-0.1115
50,1.0220,-0.1110
50,1.0200,-0.1105
50,1.0180,-0.1167
50,1.0160,-0.1130
50,1.0140,-0.1074
50,1.0120,-0.1030
50,1.0100,-0.1077
50,1.0080,-0.1094
50,1.0060,-0.1125
50,1.0040,-0.1101
50,1.0020,-0.1078
50,1.0000,-0.1052
100,1.0000,0.2220
100,1.0020,0.2219
100,1.0040,0.2123
100,1.0060,0.2264
100,1.0080,0.2171
100,1.0100,0.2145
100,1.0120,0.2114
100,1.0140,0.2186
100,1.0160,0.2200
100,1.0180,0.2147
100,1.0200,0.2236
100,1.0220,0.2181
100,1.0240,0.2226
100,1.0260,0.2256
100,1.0280,0.2209
100,1.0300,0.2234
100,1.0320,0.2270
100,1.0340,0.2271
100,1.0360,0.2123
100,1.0380,0.2149
100,1.0400,0.2211
100,1.0420,0.2253
100,1.0440,0.2159
100,1.0460,0.2195
100,1.0480,0.2246
100,1.0500,0.2212
100,1.0520,0.2197
100,1.0540,0.2185
100,1.0560,0.2153
100,1.0580,0.2227
100,1.0600,0.2289
100,1.0620,0.2187
100,1.0640,0.2215
100,1.0660,0.2231
100,1.0680,0.2223
100,1.0700,0.2189
100,1.0720,0.2241
100,1.0740,0.2139
100,1.0760,0.2145
100,1.0780,0.2174
100,1.0800,0.2169
100,1.0820,0.2218
100,1.0840,0.2182
100,1.0860,0.2131
100,1.0880,0.2190
100,1.0900,0.2201
100,1.0920,0.2177
100,1.0940,0.2190
100,1.0960,0.2254
100,1.0980,0.2132
100,1.1000,0.2186
100,1.1020,0.2162
100,1.1040,0.2225
100,1.1060,0.2190
100,1.1080,0.2288
100,1.1100,0.2231
100,1.1120,0.2184
100,1.1140,0.2232
100,1.1160,0.2165
100,1.1180,0.2292
100,1.1200,0.2243
100,1.1220,0.2217
100,1.1240,0.2195
100,1.1260,0.2240
100,1.1280,0.2183
100,1.1300,0.2215
100,1.1320,0.2207
100,1.1340,0.2235
100,1.1360,0.2179
100,1.1380,0.2193
100,1.1400,0.2289
100,1.1420,0.2239
100,1.1440,0.2250
100,1.1460,0.2192
100,1.1480,0.2246
100,1.1500,0.2202
100,1.1520,0.2196
100,1.1540,0.2259
100,1.1560,0.2180
100,1.1580,0.2206
100,1.1600,0.2254
100,1.1620,0.2218
100,1.1640,0.2142
100,1.1660,0.2277
100,1.1680,0.2231
100,1.1700,0.2143
100,1.1720,0.2203
100,1.1740,0.2229
100,1.1760,0.2246
100,1.1780,0.2224
100,1.1800,0.2251
100,1.1820,0.2202
100,1.1840,0.2208
100,1.1860,0.2230
100,1.1880,0.2207
100,1.1900,0.2272
100,1.1920,0.2191
100,1.1940,0.2241
100,1.1960,0.2254
100,1.1980,0.2230
100,1.2000,0.2204
100,1.2020,0.2168
100,1.2040,0.2187
100,1.2060,0.2197
100,1.2080,0.2164
100,1.2100,0.2237
100,1.2120,0.2179
100,1.2140,0.2216
100,1.2160,0.2188
100,1.2180,0.2148
100,1.2200,0.2224
100,1.2220,0.2196
100,1.2240,0.2221
100,1.2260,0.2181
100,1.2280,0.2197
100,1.2300,0.2204
100,1.2320,0.2263
100,1.2340,0.2198
100,1.2360,0.2200
100,1.2380,0.2185
100,1.2400,0.2199
100,1.2420,0.2223
100,1.2440,0.2167
100,1.2460,0.2220
100,1.2480,0.2267
100,1.2500,0.2218
100,1.2520,0.2263
100,1.2540,0.2155
100,1.2560,0.2252
100,1.2580,0.2186
100,1.2600,0.2184
100,1.2620,0.2273
100,1.2640,0.2154
100,1.2660,0.2258
100,1.2680,0.2168
100,1.2700,0.2115
100,1.2720,0.2144
100,1.2740,0.2271
100,1.2760,0.2209
100,1.2780,0.2193
100,1.2800,0.2156
100,1.2820,0.2214
100,1.2840,0.2102
100,1.2860,0.2197
100,1.2880,0.2200
100,1.2900,0.2188
100,1.2920,0.2280
100,1.2940,0.2261
100,1.2960,0.2139
100,1.2980,0.2302
100,1.3000,0.2358
100,1.3020,0.2275
100,1.3040,0.2253
100,1.3060,0.2296
100,1.3080,0.2403
100,1.3100,0.2431
100,1.3120,0.2464
100,1.3140,0.2596
100,1.3160,0.2644
100,1.3180,0.2857
100,1.3200,0.3036
100,1.3220,0.3129
100,1.3240,0.3477
100,1.3260,0.3784
100,1.3280,0.4205
100,1.3300,0.4670
100,1.3320,0.5231
100,1.3340,0.5777
100,1.3360,0.6682
100,1.3380,0.7442
100,1.3400,0.8441
100,1.3420,0.9539
100,1.3440,1.0836
100,1.3460,1.2401
100,1.3480,1.3983
100,1.3500,1.5834
100,1.3520,1.7725
100,1.3540,1.9995
100,1.3560,2.2309
100,1.3580,2.4765
100,1.3600,2.7320
100,1.3620,3.0158
100,1.3640,3.2987
100,1.3660,3.5869
100,1.3680,3.8777
100,1.3700,4.1680
100,1.3720,4.4559
100,1.3740,4.7416
100,1.3760,5.0141
100,1.3780,5.2645
100,1.3800,5.4878
100,1.3820,5.6926
100,1.3840,5.8715
100,1.3860,6.0189
100,1.3880,6.1280
100,1.3900,6.1952
100,1.3920,6.2256
100,1.3940,6.2166
100,1.3960,6.1735
100,1.3980,6.0978
100,1.4000,5.9740
100,1.4020,5.8176
100,1.4040,5.6242
100,1.4060,5.4115
100,1.4080,5.1738
100,1.4100,4.9207
100,1.4120,4.6462
100,1.4140,4.3578
100,1.4160,4.0651
100,1.4180,3.7746
100,1.4200,3.4851
100,1.4220,3.1952
100,1.4240,2.9116
100,1.4260,2.6462
100,1.4280,2.3795
100,1.4300,2.1431
100,1.4320,1.9235
100,1.4340,1.7071
100,1.4360,1.5121
100,1.4380,1.3391
100,1.4400,1.1825
100,1.4420,1.0363
100,1.4440,0.9139
100,1.4460,0.8031
100,1.4480,0.7060
100,1.4500,0.6311
100,1.4520,0.5638
100,1.4540,0.4983
100,1.4560,0.4460
100,1.4580,0.4071
100,1.4600,0.3732
100,1.4620,0.3391
100,1.4640,0.3166
100,1.4660,0.2966
100,1.4680,0.2820
100,1.4700,0.2711
100,1.4720,0.2533
100,1.4740,0.2483
100,1.4760,0.2500
100,1.4780,0.2406
100,1.4800,0.2303
100,1.4820,0.2322
100,1.4840,0.2377
100,1.4860,0.2316
100,1.4880,0.2300
100,1.4900,0.2314
100,1.4920,0.2283
100,1.4940,0.2350
100,1.4960,0.2380
100,1.4980,0.2307
100,1.5000,0.2274
100,1.5020,0.2308
100,1.5040,0.2340
100,1.5060,0.2327
100,1.5080,0.2304
100,1.5100,0.2377
100,1.5120,0.2400
100,1.5140,0.2420
100,1.5160,0.2381
100,1.5180,0.2408
100,1.5200,0.2471
100,1.5220,0.2441
100,1.5240,0.2496
100,1.5260,0.2456
100,1.5280,0.2522
100,1.5300,0.2592
100,1.5320,0.2450
100,1.5340,0.2560
100,1.5360,0.2575
100,1.5380,0.2666
100,1.5400,0.2647
100,1.5420,0.2672
100,1.5440,0.2744
100,1.5460,0.2754
100,1.5480,0.2782
100,1.5500,0.2862
100,1.5520,0.2836
100,1.5540,0.2925
100,1.5560,0.3038
100,1.5580,0.3030
100,1.5600,0.3054
100,1.5620,0.3187
100,1.5640,0.3218
100,1.5660,0.3204
100,1.5680,0.3365
100,1.5700,0.3446
100,1.5720,0.3484
100,1.5740,0.3638
100,1.5760,0.3715
100,1.5780,0.3823
100,1.5800,0.3964
100,1.5820,0.4058
100,1.5840,0.4137
100,1.5860,0.4309
100,1.5880,0.4437
100,1.5900,0.4616
100,1.5920,0.4765
100,1.5940,0.4908
100,1.5960,0.5161
100,1.5980,0.5331
100,1.6000,0.5613
100,1.5980,0.0884
100,1.5960,0.0774
100,1.5940,0.0593
100,1.5920,0.0344
100,1.5900,0.0222
100,1.5880,0.0014
100,1.5860,-0.0141
100,1.5840,-0.0209
100,1.5820,-0.0285
100,1.5800,-0.0441
100,1.5780,-0.0599
100,1.5760,-0.0687
100,1.5740,-0.0770
100,1.5720,-0.0859
100,1.5700,-0.0943
100,1.5680,-0.0998
100,1.5660,-0.1110
100,1.5640,-0.1206
100,1.5620,-0.1215
100,1.5600,-0.1294
100,1.5580,-0.1421
100,1.5560,-0.1368
100,1.5540,-0.1452
100,1.5520,-0.1512
100,1.5500,-0.1582
100,1.5480,-0.1632
100,1.5460,-0.1624
100,1.5440,-0.1694
100,1.5420,-0.1754
100,1.5400,-0.1673
100,1.5380,-0.1759
100,1.5360,-0.1860
100,1.5340,-0.1796
100,1.5320,-0.1870
100,1.5300,-0.1851
100,1.5280,-0.1917
100,1.5260,-0.1902
100,1.5240,-0.1905
100,1.5220,-0.1890
100,1.5200,-0.1959
100,1.5180,-0.2017
100,1.5160,-0.1976
100,1.5140,-0.1988
100,1.5120,-0.2024
100,1.5100,-0.2050
100,1.5080,-0.2076
100,1.5060,-0.2102
100,1.5040,-0.2110
100,1.5020,-0.1996
100,1.5000,-0.2068
100,1.4980,-0.2066
100,1.4960,-0.2169
100,1.4940,-0.2096
100,1.4920,-0.2145
100,1.4900,-0.2116
100,1.4880,-0.2074
100,1.4860,-0.2163
100,1.4840,-0.2079
100,1.4820,-0.2168
100,1.4800,-0.2181
100,1.4780,-0.2188
100,1.4760,-0.2116
100,1.4740,-0.2165
100,1.4720,-0.2189
100,1.4700,-0.2157
100,1.4680,-0.2151
100,1.4660,-0.2208
100,1.4640,-0.2151
100,1.4620,-0.2244
100,1.4600,-0.2153
100,1.4580,-0.2095
100,1.4560,-0.2204
100,1.4540,-0.2108
100,1.4520,-0.2138
100,1.4500,-0.2235
100,1.4480,-0.2159
100,1.4460,-0.2140
100,1.4440,-0.2207
100,1.4420,-0.2244
100,1.4400,-0.2131
100,1.4380,-0.2236
100,1.4360,-0.2130
100,1.4340,-0.2232
100,1.4320,-0.2170
100,1.4300,-0.2159
100,1.4280,-0.2216
100,1.4260,-0.2210
100,1.4240,-0.2227
100,1.4220,-0.2181
100,1.4200,-0.2209
100,1.4180,-0.2188
100,1.4160,-0.2139
100,1.4140,-0.2262
100,1.4120,-0.2170
100,1.4100,-0.2194
100,1.4080,-0.2280
100,1.4060,-0.2153
100,1.4040,-0.2151
100,1.4020,-0.2206
100,1.4000,-0.2166
100,1.3980,-0.2193
100,1.3960,-0.2196
100,1.3940,-0.2201
100,1.3920,-0.2166
100,1.3900,-0.2208
100,1.3880,-0.2310
100,1.3860,-0.2202
100,1.3840,-0.2285
100,1.3820,-0.2434
100,1.3800,-0.2435
100,1.3780,-0.2442
100,1.3760,-0.2493
100,1.3740,-0.2570
100,1.3720,-0.2706
100,1.3700,-0.2873
100,1.3680,-0.3082
100,1.3660,-0.3293
100,1.3640,-0.3421
100,1.3620,-0.3759
100,1.3600,-0.4085
100,1.3580,-0.4570
100,1.3560,-0.5023
100,1.3540,-0.5591
100,1.3520,-0.6328
100,1.3500,-0.7126
100,1.3480,-0.8052
100,1.3460,-0.9128
100,1.3440,-1.0229
100,1.3420,-1.1535
100,1.3400,-1.2897
100,1.3380,-1.4513
100,1.3360,-1.6181
100,1.3340,-1.8042
100,1.3320,-1.9986
100,1.3300,-2.2137
100,1.3280,-2.4249
100,1.3260,-2.6537
100,1.3240,-2.8719
100,1.3220,-3.0984
100,1.3200,-3.3400
100,1.3180,-3.5696
100,1.3160,-3.7927
